,Short name,Contrast,Anatomic coverage,Additional info,Full protocol?,,Review by GR?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
﻿/,Short name,Time,Contrast,Anatomic region,Additional info,Full protocol?
,"Suffix codes: A=without, B=with, C=without+with, D=arthrogram/cystogram",,,,,
,MRI PROTOCOLS,,,,,
100,HEAD AND NECK,,,,,
,,,,,,
100A,brain (routine),30,without,head,,yes
,,,,,,
100C,brain (routine),45,without and with,head,,yes
102C,brain (brain tumor perfusion),,without and with,head,tumor evaluation,
103C,brain (mets),60,without and with,head,For suspected brain mets,yes
,,,,,,
105C,brain (SRS protocol),60,without and with,head,,
106C,brain (SRS and sella protocol),60,without and with,head,,
107C,brain (SRS and IAC protocol),60,without and with,head,,
108A,Brain (Research study),60,without,head,,
108C,Brain (Research study),60,without and with,head,,
110A,Brain Spectroscopy,,without,head,,
111A,CSF flow study,30,without,head,,
,,,,,,
115C,brain (MS protocol),60,without and with,head,,yes
115A,brain (MS protocol),45,without,head,,
,,,,,,
116A,brain (seizure protocol),45,without,head,,
116C,brain (seizure protocol),60,without and with,head,,
,,,,,,
,,,,,,
130C,brain (pituitary protocol),45,without and with,head,,
131C,Dynamic pituitary,45,without and with,,,
,,,,,,
140A,brain (IAC protocol),30,without,head,,
140C,brain (IAC protocol),60,without and with,head,,
142C,brain (trigeminal or CN III-V protocol),75,without and with,head,,
143C,brain (CN IX-XII protocol),75,without and with,head,,
144C,Skull base,60,without and with,head,,
145C,Rad Onc Trigeminal Nerve,75,without and with,head,,
146C,Limited Rad Onc Trigeminal nerve,60,without and with,head,,
,,,,,,
150C,neck,60,without and with,neck,,
151C,face/upper neck,60,without and with,face/neck,,
152C,orbits,60,without and with,orbits,,
153A,Sinus,30,without and with,,,
,,,,,,
160A,TMJ,60,without,TMJ,,
,,,,,,
,,,,,,
,,,,,,
180C,Pediatric Brain,60,with and without,head,Dotarem IV,
180A,Pediatric Brain,30,without,head,,
,,,,,,
200,THORAX,,,,,
,,,,,,
200A,chest,30,without,chest wall/mediastinum,,
200C,chest,60,without and with,chest wall/mediastinum,,
,,,,,,
,,,,,,
221C,breasts (cancer workup or screening),45,without and with,breasts,,
225C,brachial plexus,60,without and with,neck/shoulder,,
,,,,,,
230C,chest (mediastinal mass),60,without and with,mediastinum,,
,,,,,,
300,ABDOMEN PELVIS,,,,,
,,,,,,
300A,Routine abdomen w/o,30,without,abdomen,"unable to have gad, non-MRCP",
300C,abdomen--other,,without and with,abdomen,Other-specify organ/region,
301C,Eovist Liver ,45,without and with Eovist,abdomen,"dynamic contrast, multiphasic",
302C,Routine Liver,30,without and with,abdomen,"Multihance/Prohance, dynamic contrast, multiphasic",
302C F/U,SHORT LIVER FOLLOW UP,30,without and with,abdomen,"Multihance/Prohance, dynamic contrast, multiphasic",
303C,Renal mass,45,without and with,abdomen,multiphasic,
304C,Pancreas mass,45,without and with,abdomen,"dynamic contrast, multiphasic",
305C,Pancreas with MRCP,60,without and with,abdomen,"dynamic contrast, multiphasic",
307A,Hemochromatosis Protocol,60,without,abdomen,iron overload,
308A,Liver Elastography,,without,abdomen,fibrosis protocol,
309C,Adrenal mass,60,without and with,abdomen,,
310A,MRCP,60,without,abdomen,,yes
,,,,,,
340C,MR Urogram,60,without and with,abdomen/pelvis,,
,,,,,,
350C,MR enterography,60,without and with,abdomen/pelvis,with Volumen/Breeza oral,
,,,,,,
360C,prostate (CARM AND SAC ONLY),45,without and with,pelvis,,
361C,scrotal,60,without and with,pelvis and scrotum,,
362C,penis,60,without and with,pelvis and scrotum,,
363C,perianal fistula,60,without and with,pelvis,,
365C,rectal cancer,60,without and with,pelvis,,
366A,appendicitis in pregnancy,60,without,pelvis,,
367A,placenta accreta,60,without,uterus/pelvis,,
368C,Routine pelvis,60,with and without,,,
369A,PIRIFORMIS SYNDROME PELVIS,60,,,,
,,60,,,,
370A,routine female pelvis,60,without,pelvis,,
370C,routine female pelvis (UFE),60,without and with,pelvis,general,
372C,Female pelvis (rad-onc),60,without and with IV,pelvis,with vaginal gel!,
373C,cervical cancer,60,without and with IV,pelvis,with vaginal gel!,
374C,Endometrial cancer,60,without and with IV,pelvis,with vaginal gel!,
375C,URETHRAL DIVERTICULI,60,without and with,,,
376A,Defocography,45,without,,,
,,,,,,
730C,"MRI Abdomen, with Pelvis",60,without and with,"abdomen, pelvis","Emphasis on abdomen Pre/Post, include abbreviated pelvis",
731C,"MRI Pelvis, with Abdomen",60,without and with,pelvis + abdomen,"Emphasis on pelvis, plus abbreviated abdomen",
,,,,,,
400,SKELETAL,,,,,
400A,Shoulder,30,without,,,yes
400D,Shoulder arthrogram,60,with intra-articular contrast,,,yes
400C,Shoulder (mass),60,without and with,,,yes
403A,Scapula,30,without,,,yes
403C,Scapula (mass),60,without and with,,,
405A,3,45,without,,,yes
405C,Humerus,90,without and with,,,yes
406A,Humerus (for torn biceps tendon),45,without,,,yes
408A,Elbow,30,without,,,yes
408D,Elbow arthrogram,60,with intra-articular contrast,,,
408C,Elbow (mass),60,without and with,,,yes
411A,Forearm,45,without,,,yes
411C,Forearm (mass),90,without and with,,,yes
413A,Pectoralis muscle,45,without,,,yes
,,,,,,
420A,Wrist,30,without,,,yes
420D,Wrist arthrogram,60,with intra-articular contrast,,,yes
420C,Wrist (mass),60,without and with,,,
423A,Hand,45,without,,,yes
423C,Hand (mass),60,without and with,,,yes
425C,Hand and wrist (polyarthritis),90,without and with,,,
426A,Thumb/finger,30,without,Not Roseville,"Thumbs Carm, Sac or Folsom",yes
426C,Thumb/finger,60,without and with,Not Roseville,"Thumbs Carm, Sac or Folsom",yes
,,,,,,
430A,Pelvis (bone),45,without,"pelvis, hips, sacrum",,
431A,Pelvis (sports hernia),45,without,,,
430C,Pelvis (bone),60,without and with,,,yes
433A,Hip (routine),30,without,,,
433D,Hip arthrogram,60,with intra-articular,,,
433C,Hip (mass),60,without and with,,,
434A,Hip (AVN),45,without,,,
437A,Femur/thigh,45,without,,,yes
437C,Femur/thigh (mass),90,without and with,,,yes
438A,SCIATIC NERVE (FEMUR),45,WITHOUT,,,
438C,SCIATIC NERVE (FEMUR),75,without and with,,,
439A,SI JOINTS,45,,,,
,,,,,,
440A,Knee,30,without,,,yes
440D,Knee arthrogram,60,with intra-articular,,,yes
440C,Knee (mass),60,without and with,,,yes
441A,MARS knee,45,without,,,yes
443A,Lower leg (tib-fib),45,without,tib-fib,,yes
443C,Lower leg (mass),90,without and with,tib-fib,,yes
444C,Soft tissue mass-long bone,60,without and with,,,
445A,Ankle,45,without,,,
445C,Ankle (mass),60,without and with,,,
446C,Ankle OSTEO,60,without and with,,,
447A,Foot,30,without,,,
447C,Foot (mass),60,without and with,,,
448C,Foot OSTEO,60,without and with,,,
450A,Biomet hip,45,without,,,
451A,Zimmer Knee,30,without,,,
452A,Styker knee,,without,,,
453A,Clavicle,45,without,,,yes
454A,MARS HIP,60,without,,,
455A,Sternoclavicular joints,30,without,,,
455C,Sternoclavicular joints,60,without and with,,,
456A,Ankle for Achilles tendon,60,without,,,
,,,,,,
490A,Other body location,,without,(specify),,
490C,Any joint polyarthritis,,without and with,(specify),,
,,,,,,
500,SPINE,,,,,
500A,Routine C-spine,30,without,,,
500C,C-spine,60,without and with,,,
502A,C-spine (MS protocol),30,without,,,
502C,C-spine (MS protocol),60,without and with,,,yes
510A,T-spine,30,without,,,yes
510C,T-spine,60,without and with,,,yes
512A,T-spine (MS protocol),30,without,,,
512C,T-spine (MS protocol),60,without and with,,,yes
,,,,,,
520A,L-spine,30,without,,,yes
520C,L-spine,60,without and with,,,yes
522C,L-spine (MS protocol),60,without and with,,,yes
523A,Sacrum/coccyx,,,,,
523C,Sacrum for Osteomyelitis,60,without and with,,,
530C,(spine survey),,without and with,C-T-L spine,,
,,,,,,
540C,Lumbar plexus,60,without and with,L-spine and sacrum?,,
,,,,,,
600,MRA,,,,,
600A,MRA head,15,without,,,
600C,MRA head,45,without and with,,,
602A,MRV head,15,without,,,
,,,,,,
610A,MRA neck,30,without,,,
610C,MRA neck,45,without and with,,,
,,,,,,
620C,MRA thoracic aorta,,without and with,,,
621C,MRA Thoracic Outlet Syndrome,60,without and with,mediastinum/shoulder/upper ext,arms up and arms down - specify side if relevant,
,,,,,,
630C,MRA abdomen,60,without and with,,,
630A,MRA abdomen (Inhance protocol),30,without,,,
632C,MRV abdomen,60,without and with,,,
,,,,,,
640C,MRA pelvis,60,without and with,,,
641C,MRV pelvis,60,without and with,,,
,,,,,,
650C,MRA abdomen and bilateral lower extremities,,without and with,abdomen/pelvis/legs,,
,,,,,,
660C,MRA of other body location,,(specify),(specify),,
,,,,,,
700,COMBINATION EXAMS,,,,,
701A,brain and c-spine,,without,,,
701C,brain and c-spine,,without and with,,,
702A,MS BRAIN AND C-SPINE,,WITHOUT,,,
702C,MS BRAIN AND C-SPINE,,WITHOUT AND WITH,,,
703A,"brain, C and T-spine",,without,,,
703C,"brain, C and T-spine",,without and with,,,
705A,"brain, C, T, and L spine",,without,,,
705C,"brain, C, T, and L spine",,without and with,,,
706A,MS C-SPINE AND T-SPINE,,WITHOUT,,,
706C,MS C-SPINE AND T-SPINE,,WITHOUT AND WITH,,,
707A,c-spine and t-spine,,without,,,
707C,c-spine and t-spine,,without and with,,,
708A,"MS C, T, L SPINE",,WITHOUT,,,
708A,"MS C, T, L SPINE",,WITHOUT AND WITH,,,
709A,"C, T, and L-spine",,without,,,
709C,"C, T, and L-spine",,without and with,,,
710A,MS T AND L SPINE,,WITHOUT,,,
710C,MS T AND L SPINE,,,,,
711A,T and L spine,,without,,,
711C,T and L spine,,without and with,,,
712C,Prostate with routine ABD,,without and with,,,
713C,Eovist liver with routine ABD,,without and with,,,
714C,Dynamic ABD with routine pelvis,,without and with,,,
715C,Dynamic female pelvis with routine ABD,,without and with,,,
716C,Rectal CA with routine ABD,,without and with,,,
717C,BRAIN AND PITUITARY,60,without and with,,,
,,,,,,
730C,"MRI Abdomen, with Pelvis",,without and with,"abdomen, pelvis","Emphasis on abdomen Pre/Post, include abbreviated pelvis",
731C,"MRI Pelvis, with Abdomen",,without and with,pelvis + abdomen,"Emphasis on pelvis, plus abbreviated abdomen",
,,,,,,
,,,,,,
,,,,,,
750C,MR CHEST/ABD/PELVIS,,,,,
